brojPoteza	brojKolone
1	2
2	3
3	1
4	2
5	3
6	0
7	0
8	5
9	4
10	1
1	3
2	3
3	3
4	3
5	2
6	2
7	0
8	1
9	1
10	0
11	0
1	3
2	2
3	2
4	3
5	3
6	3
7	0
8	0
9	1
10	4
1	3
2	2
3	2
4	3
5	3
6	3
7	0
8	0
9	1
10	4
1	3
2	3
3	3
4	3
1	3
2	3
3	2
4	3
5	2
6	0
7	4
8	1
9	1
10	0
11	0
1	2
2	3
3	1
4	3
5	2
6	3
7	1
8	1
9	1
10	2
11	0
12	0
13	5
14	4
15	4
16	4
1	3
2	2
3	2
4	3
5	3
6	2
7	0
8	4
9	4
10	1
1	3
2	3
3	2
4	3
5	3
6	3
1	3
2	2
3	2
4	2
5	3
6	3
7	1
8	0
1	3
2	5
3	4
4	3
5	3
6	2
7	1
8	0
1	3
2	2
3	2
4	3
5	3
6	2
7	4
8	4
9	1
1	2
2	3
3	2
4	3
5	1
6	4
7	4
8	1
1	3
2	3
3	3
4	3
5	2
6	0
7	1
8	4
1	3
2	3
3	2
4	2
5	5
6	5
7	4
1	3
2	3
3	2
4	2
5	2
6	3
7	4
8	5
1	2
2	3
3	4
4	3
5	3
6	3
1	3
2	3
3	2
4	2
5	2
6	4
7	3
8	1
9	3
10	4
11	4
12	4
1	3
2	2
3	3
4	2
5	1
6	2
7	3
8	3
1	2
2	3
3	3
4	3
5	3
1	2
2	3
3	1
4	3
5	2
6	3
7	5
8	0
9	0
10	0
11	5
12	5
13	4
14	4
15	1
1	2
2	3
3	1
4	3
5	2
6	3
7	1
8	1
9	2
10	4
11	1
12	4
13	5
14	5
15	5
16	0
17	0
18	0
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
2	2
3	3
1	3
2	3
1	3
1	3
2	2
3	2
4	2
5	3
6	3
7	0
1	3
1	3
1	3
1	3
1	3
2	2
3	3
4	3
5	0
6	0
7	3
8	0
9	0
10	1
11	4
12	1
13	1
14	4
1	3
2	2
3	2
1	3
2	2
3	1
1	3
2	2
1	3
2	2
3	2
4	2
5	3
1	3
2	3
1	3
2	3
3	3
1	3
2	3
1	3
2	3
1	3
1	3
2	3
1	3
2	3
1	3
1	3
2	3
3	3
1	3
2	3
1	3
1	3
2	0
1	3
1	3
2	0
1	3
2	0
3	3
1	3
2	0
3	3
1	3
1	3
2	0
1	3
2	3
3	3
4	3
1	3
2	3
1	3
2	3
3	3
4	3
5	3
1	3
2	3
3	3
1	3
1	3
2	5
1	3
2	3
1	3
2	3
1	3
1	3
2	3
1	3
2	3
1	3
1	3
1	3
2	3
3	3
1	3
2	3
3	3
4	3
1	3
2	3
1	3
2	3
1	3
2	3
1	3
2	3
1	3
2	3
1	3
1	3
2	3
3	3
1	3
2	3
3	3
1	3
1	3
2	3
1	3
2	3
3	3
1	3
1	3
2	3
1	3
2	3
1	3
2	3
1	3
2	3
3	3
1	3
2	3
1	3
2	3
1	3
1	3
2	3
3	3
4	3
1	3
2	3
1	3
2	3
3	3
4	3
1	3
2	0
1	3
2	3
3	3
4	3
1	3
2	0
3	3
4	3
5	3
1	3
2	3
1	3
2	3
3	1
4	3
5	1
6	1
7	0
8	1
1	3
2	3
3	3
4	1
5	1
6	2
7	0
1	2
2	3
3	3
4	0
5	2
1	3
2	3
3	3
4	1
5	2
6	2
7	3
8	0
1	3
2	3
3	3
4	1
5	2
6	0
1	2
2	3
3	3
4	3
5	2
6	3
7	1
8	1
9	2
10	0
11	0
12	4
13	0
14	0
1	3
2	2
3	2
4	2
5	2
1	3
2	2
1	2
2	3
3	3
4	0
5	2
6	0
7	4
8	1
9	0
10	1
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	2
1	3
1	3
1	3
1	3
1	3
1	3
2	3
1	3
1	3
1	3
1	3
1	3
2	3
1	3
2	2
3	3
4	4
5	1
1	3
1	3
2	1
3	2
4	2
5	2
6	2
1	3
2	3
1	3
2	3
3	3
1	3
2	4
1	3
2	3
3	3
4	3
5	3
1	3
2	3
3	3
4	1
5	1
6	1
7	1
1	3
2	3
3	2
4	3
5	3
1	3
1	3
2	2
3	2
1	3
2	2
3	3
4	4
1	3
1	3
1	3
1	3
2	2
3	3
4	4
5	2
6	3
1	3
2	3
1	3
2	3
1	3
2	2
3	1
4	2
5	2
6	2
1	3
1	3
2	2
3	2
4	3
5	2
1	3
1	2
2	3
1	3
2	2
1	3
2	2
1	3
2	2
3	2
1	3
2	2
3	3
4	3
5	1
6	0
7	0
